needid,NeedTitle,Description,Agencyid,AgencyName,category,agencyaddress,agencycity,agencystate,agencyzip,phone,email
1,Book/literacy fairs,Help organize a literary and book fair in Long Beach,39051,Urban Community Outreach Incorporated,Education,241 Cedar Avenue ,Long Beach,CA  ,90802,555-123-9051,fake39051@email.com
2,Career Days,Help organize a career day at an agency or school in Long Beach,39051,Urban Community Outreach Incorporated,Education,241 Cedar Avenue ,Long Beach,CA  ,90802,555-123-9051,fake39051@email.com
3,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Long Beach,39051,Urban Community Outreach Incorporated,Education,241 Cedar Avenue ,Long Beach,CA  ,90802,555-123-9051,fake39051@email.com
4,After-school homework help/tutoring,Tutor students after school in Long Beach,39051,Urban Community Outreach Incorporated,Education,241 Cedar Avenue ,Long Beach,CA  ,90802,555-123-9051,fake39051@email.com
5,Mentoring,Mentor a Teenager in Long Beach,39051,Urban Community Outreach Incorporated,Education,241 Cedar Avenue ,Long Beach,CA  ,90802,555-123-9051,fake39051@email.com
6,Graduations,Help at a High School student graduation ceremony in Long Beach,39051,Urban Community Outreach Incorporated,Education,241 Cedar Avenue ,Long Beach,CA  ,90802,555-123-9051,fake39051@email.com
7,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Redondo Beach",38989,Breastfeeding Task Force of Greater Los Angeles,BasicNeeds,2110 Artesia Boulevard ,Redondo Beach,CA  ,90278,555-123-8989,fake38989@email.com
8,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Redondo Beach,38989,Breastfeeding Task Force of Greater Los Angeles,BasicNeeds,2110 Artesia Boulevard ,Redondo Beach,CA  ,90278,555-123-8989,fake38989@email.com
9,Donation sorting,Help Process Gifts for an Organization in Redondo Beach,38989,Breastfeeding Task Force of Greater Los Angeles,BasicNeeds,2110 Artesia Boulevard ,Redondo Beach,CA  ,90278,555-123-8989,fake38989@email.com
10,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Redondo Beach,38989,Breastfeeding Task Force of Greater Los Angeles,BasicNeeds,2110 Artesia Boulevard ,Redondo Beach,CA  ,90278,555-123-8989,fake38989@email.com
11,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Redondo Beach,38989,Breastfeeding Task Force of Greater Los Angeles,BasicNeeds,2110 Artesia Boulevard ,Redondo Beach,CA  ,90278,555-123-8989,fake38989@email.com
12,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Los Angeles",38939,World Centered Outreach,BasicNeeds, P.O. Box 470880 ,Los Angeles,CA  ,90047,555-123-8939,fake38939@email.com
13,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Los Angeles,38939,World Centered Outreach,BasicNeeds, P.O. Box 470880 ,Los Angeles,CA  ,90047,555-123-8939,fake38939@email.com
14,Donation sorting,Help Process Gifts for an Organization in Los Angeles,38939,World Centered Outreach,BasicNeeds, P.O. Box 470880 ,Los Angeles,CA  ,90047,555-123-8939,fake38939@email.com
15,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Los Angeles,38939,World Centered Outreach,BasicNeeds, P.O. Box 470880 ,Los Angeles,CA  ,90047,555-123-8939,fake38939@email.com
16,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Los Angeles,38939,World Centered Outreach,BasicNeeds, P.O. Box 470880 ,Los Angeles,CA  ,90047,555-123-8939,fake38939@email.com
